id_department,department_name,terrain_area,old_antenna,new_antenna_type
20,Meta,195200,29,b
5,Bolivar,754400,26,a
19,Magdalena,128600,25,b
13,Cordoba,1736200,14,d
31,Vaupes,993000,0,d
17,Huila,592400,17,c
8,Caqueta,1065800,1,d
30,Valle del Cauca,344800,22,a
20,Meta,281400,17,a
9,Casanare,643600,20,b
10,Cauca,247600,27,b
23,Putumayo,1631200,25,d
3,Arauca,1948000,2,b
18,La Guajira,73800,3,e
23,Putumayo,162000,10,a
26,San Andres y Providencia,975000,26,a
9,Casanare,1380600,17,e
28,Sucre,581000,25,a
25,Risaralda,1010000,28,b
2,Antioquia,1671000,6,a
27,Santander,849600,5,a
5,Bolivar,1926400,16,a
32,Vichada,1182000,3,e
9,Casanare,769000,26,d
1,Amazonas,1919200,2,a
21,Narino,1779200,20,b
6,Boyaca,404400,11,c
15,Guainia,1611400,19,b
1,Amazonas,792600,18,e
9,Casanare,1193400,25,b
3,Arauca,1058200,1,b
14,Cundinamarca,39400,21,a
4,Atlantico,980400,23,a
18,La Guajira,1735800,9,d
13,Cordoba,1135000,1,c
15,Guainia,165800,6,a
28,Sucre,631800,8,a
30,Valle del Cauca,1110800,3,e
8,Caqueta,266000,27,a
25,Risaralda,714600,7,b
5,Bolivar,1269600,11,b
26,San Andres y Providencia,1938200,29,e
2,Antioquia,507400,30,d
11,Cesar,1434200,28,b
20,Meta,290000,18,a
3,Arauca,1359400,6,b
6,Boyaca,1869400,7,e
9,Casanare,1144600,17,d
21,Narino,739200,15,b
23,Putumayo,1355400,8,d
32,Vichada,633200,10,c
20,Meta,1980400,7,e
7,Caldas,604200,22,e
14,Cundinamarca,1842800,11,c
11,Cesar,1242000,24,c
27,Santander,440000,27,a
19,Magdalena,829400,28,e
25,Risaralda,67600,27,e
31,Vaupes,433600,19,d
19,Magdalena,751400,25,a
27,Santander,487800,22,b
23,Putumayo,953800,27,a
22,Norte de Santander,1288200,20,e
5,Bolivar,1650600,25,e
24,Quindio,661200,6,a
4,Atlantico,1557200,3,e
12,Choco,1263800,13,c
17,Huila,678400,23,c
5,Bolivar,1805800,22,c
1,Amazonas,5200,2,a
10,Cauca,1954400,13,e
28,Sucre,1598200,19,b
21,Narino,1468200,15,b
26,San Andres y Providencia,1167000,1,c
19,Magdalena,159600,4,e
28,Sucre,31800,12,a
25,Risaralda,194400,2,a
32,Vichada,1965600,13,d
14,Cundinamarca,972800,23,b
23,Putumayo,1708600,21,a
6,Boyaca,1527200,29,e
30,Valle del Cauca,284600,8,a
25,Risaralda,1862000,26,b
12,Choco,1371000,14,d
3,Arauca,732000,3,e
13,Cordoba,1338600,21,a
1,Amazonas,713600,21,a
31,Vaupes,1785200,10,b
25,Risaralda,1310600,27,e
20,Meta,1922200,15,d
4,Atlantico,1094000,0,e
5,Bolivar,89000,19,e
22,Norte de Santander,1270400,22,a
9,Casanare,1118800,9,b
19,Magdalena,253200,7,c
5,Bolivar,433200,10,c
9,Casanare,999200,2,d
4,Atlantico,1669600,9,b
